Designator,Mid X,Mid Y,Rotation,Layer
D1,104.757738,-17.764564,90.0,top
D10,144.525,-43.3112,180.0,top
D11,104.466364,-47.346552,0.0,top
D12,104.401364,-51.029552,0.0,top
D13,153.78,-52.9152,180.0,top
D14,136.26,-53.4752,180.0,top
D15,133.558,-54.2012,180.0,top
D16,138.3,-59.8852,0.0,top
D17,138.958962,-62.099956,90.0,top
D18,150.958962,-63.3852,0.0,top
D19,102.435,-64.45,90.0,top
D2,142.482878,-20.992569,180.0,top
D20,133.27,-68.0852,180.0,top
D21,135.92,-68.3852,0.0,top
D22,100.185,-69.1,90.0,top
D23,144.62,-69.6352,0.0,top
D24,147.755,-69.8502,0.0,top
D25,134.9,-71.4452,180.0,top
D26,102.235,-74.7,0.0,top
D27,109.605,-75.85,90.0,top
D28,109.65,-78.05,0.0,top
D29,105.101,-84.448,180.0,top
D3,149.097878,-21.007569,180.0,top
D30,100.485,-84.75,0.0,top
D31,121.793,-86.032,90.0,top
D32,100.635,-90.45,270.0,top
D33,112.315,-95.83,90.0,top
D34,114.635,-97.45,270.0,top
D35,130.58,-100.3252,270.0,top
D36,115.935,-102.6,0.0,top
D37,115.747,-109.955,180.0,top
D38,144.09,-112.3052,270.0,top
D39,110.085,-113.2,0.0,top
D4,118.457738,-21.314564,180.0,top
D40,143.641038,-116.470444,90.0,top
D5,104.322738,-25.381564,0.0,top
D6,104.257738,-29.064564,0.0,top
D7,104.901364,-39.729552,90.0,top
D8,141.3,-42.9352,0.0,top
D9,118.601364,-43.279552,180.0,top
H1,129.831878,-12.738569,0.0,top
H10,119.89,-60.045,0.0,top
H11,118.9,-72.03,0.0,top
H12,93.9,-90.03,0.0,top
H13,146.153,-105.2462,180.0,top
H14,93.933,-115.94,0.0,top
H2,120.905738,-15.141564,0.0,top
H3,155.831878,-21.738569,0.0,top
H4,120.905738,-29.141564,0.0,top
H5,129.85,-31.6352,270.0,top
H6,121.049364,-37.106552,0.0,top
H7,158.772,-37.4992,90.0,top
H8,146.516462,-47.949956,0.0,top
H9,121.049364,-51.106552,0.0,top
J1,144.692878,-11.757569,0.0,top
J10,120.185,-100.78,270.0,top
J11,93.645,-101.24,90.0,top
J2,102.308738,-21.940564,0.0,top
J3,154.57,-30.6712,0.0,top
J4,102.452364,-43.905552,0.0,top
J5,159.87,-55.6352,270.0,top
J6,113.783,-59.783,0.0,top
J7,95.825,-60.14,0.0,top
J8,129.09,-66.475209,90.0,top
J9,157.17,-67.6352,180.0,top
KIBUZZARD-4,115.889,-113.569,0.0,bottom
S1,111.072738,-17.995564,0.0,top
S10,107.035,-69.8,0.0,top
S11,117.022721,-79.812721,180.0,top
S12,97.06,-79.85,0.0,top
S13,107.026674,-89.8,0.0,top
S14,136.717038,-106.440444,180.0,top
S15,136.681038,-115.440444,0.0,top
S16,117.435,-115.45,180.0,top
S2,132.425,-20.9,0.0,top
S3,111.072738,-26.814564,0.0,top
S4,146.516462,-37.949956,0.0,top
S5,111.216364,-39.960552,0.0,top
S6,136.516462,-47.949956,0.0,top
S7,156.516462,-47.949956,0.0,top
S8,111.216364,-48.779552,0.0,top
S9,146.516462,-57.949956,0.0,top
U1,130.97,-41.2852,180.0,top
U2,98.985,-64.67,180.0,top
U3,149.41,-67.1877,90.0,top
U4,93.305,-73.47,180.0,top
