Designator,Footprint,Quantity,Value,MPN,Manufacturer
"D1, D2, D3_2, D3, D4_3, D4_2, D5_2, D5, D6_2, D6, D7_2, D7, D8",D_SOD-323,13,1N4148WS,1N4148WS,JSMSEMI
"D22_3, D22_2, D22, D23_4, D23_3, D23_2, D23, D24_4, D24_3, D24_2, D24, D25_4, D25_3, D25_2, D25, D26_2, D26, D27_2, D27, D28_2, D28, D29_2, D29, D30, D31",0402,25,ESD5V0B03,ESD5V0B03-1006,TECH PUBLIC
"D3_3, D4",LED_D5.0mm-4_RGB,2,LED_RKGB,TJ-L5FCMXHTCSLCRGB-A5,TOGIALED
"J1_2, J5",5034800540,2,503480-0540,5034800540,MOLEX
"J1, J3",5034801400,2,5034801400,5034801400,MOLEX
"J2_5, J2_2, J4_2, J4",5034800440,4,503480-0440,5034800440,MOLEX
J2_4,5034800800,1,503480-0800,5034800800,MOLEX
"J2_3, J2",AYF530365T,2,AYF530365TA,AYF530365TA,PANASONIC
"S1_4, S1_3, S1, S2_3, S2",B3S1002,5,B3S-1002,B3S-1002,OMRON
"S1_2, S2_2, S3_2, S3, S4_2, S4, S5_2, S5, S6_2, S6, S7",B3S1000,11,B3S-1000,B3S-1000,OMRON
"U1_2, U2",SOT-23-5,2,74LVC1G08,74LVC1G08GV,MDD(Microdiode Semiconductor)
"U1, U2_2",SOT-23,2,DRV5033FAxDBZ,DRV5033FAQDBZR,TI
