Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D11, D12, D13, D14, D16, D19, D20, D21, D24, D26, D28, D30, D32, D34, D35, D36, D39, D4, D40, D5, D6, D7, D8, D9",0402,25,ESD5V0B03,C521894
"D10, D15, D17, D18, D22, D23, D25, D27, D29, D31, D33, D37, D38",D_SOD-323,13,1N4148WS,C917117
"D2, D3",LED_D5.0mm-4_RGB,2,LED_RKGB,C2837020
J1,5034800800,1,503480-0800,C596711
"J10, J8",5034801400,2,5034801400,C505360
"J11, J2, J3, J4, J5, J6",5034800440,6,503480-0440,C3170007
"J7, J9",5034800540,2,503480-0540,C5527934
"S1, S2, S3, S5, S8",B3S1002,5,B3S-1002,C2733654
"S10, S11, S12, S13, S14, S15, S16, S4, S6, S7, S9",B3S1000,11,B3S-1000,C2733655
"U1, U4",SOT-23,2,DRV5033FAxDBZ,C2869057
"U2, U3",SOT-23-5,2,74LVC1G08,C53185136
