Designator,Mid X,Mid Y,Rotation,Layer
D1,68.80871,-83.514564,90.0,top
D10,144.525,-43.3112,180.0,top
D11,68.366364,-113.096552,0.0,top
D12,68.301364,-116.779552,0.0,top
D13,153.78,-52.9152,180.0,top
D14,136.26,-53.4752,180.0,top
D15,133.558,-54.2012,180.0,top
D16,138.3,-59.8852,0.0,top
D17,138.958962,-62.099956,90.0,top
D18,150.958962,-63.3852,0.0,top
D19,102.435,-64.45,90.0,top
D2,106.64,-49.354,180.0,top
D20,133.27,-68.0852,180.0,top
D21,135.92,-68.3852,0.0,top
D22,100.185,-69.1,90.0,top
D23,144.62,-69.6352,0.0,top
D24,147.755,-69.8502,0.0,top
D25,134.9,-71.4452,180.0,top
D26,102.235,-74.7,0.0,top
D27,109.605,-75.85,90.0,top
D28,109.65,-78.05,0.0,top
D29,105.101,-84.448,180.0,top
D3,113.255,-49.369,180.0,top
D30,100.485,-84.75,0.0,top
D31,121.793,-86.032,90.0,top
D32,100.635,-90.45,270.0,top
D33,112.315,-95.83,90.0,top
D34,114.635,-97.45,270.0,top
D35,130.58,-100.3252,270.0,top
D36,115.935,-102.6,0.0,top
D37,115.747,-109.955,180.0,top
D38,144.09,-112.3052,270.0,top
D39,110.085,-113.2,0.0,top
D4,82.50871,-87.064564,180.0,top
D40,143.641038,-116.470444,90.0,top
D5,68.37371,-91.131564,0.0,top
D6,68.30871,-94.814564,0.0,top
D7,68.801364,-105.479552,90.0,top
D8,141.3,-42.9352,0.0,top
D9,82.501364,-109.029552,180.0,top
H1,93.989,-41.1,0.0,top
H10,119.89,-60.045,0.0,top
H11,118.9,-72.03,0.0,top
H12,93.9,-90.03,0.0,top
H13,146.153,-105.2462,180.0,top
H14,93.933,-115.94,0.0,top
H2,84.95671,-80.891564,0.0,top
H3,119.989,-50.1,0.0,top
H4,84.95671,-94.891564,0.0,top
H5,129.85,-31.6352,270.0,top
H6,84.949364,-102.856552,0.0,top
H7,158.772,-37.4992,90.0,top
H8,146.516462,-47.949956,0.0,top
H9,84.949364,-116.856552,0.0,top
J1,108.85,-40.119,0.0,top
J10,120.185,-100.78,270.0,top
J11,93.6,-101.49,90.0,top
J2,66.35971,-87.690564,0.0,top
J3,154.57,-30.6712,0.0,top
J4,66.352364,-109.655552,0.0,top
J5,159.85,-55.4,270.0,top
J6,113.783,-59.783,0.0,top
J7,95.825,-60.14,0.0,top
J8,129.09,-66.475209,90.0,top
J9,157.17,-67.6352,180.0,top
KIBUZZARD-4,115.889,-113.569,0.0,bottom
S1,75.12371,-83.745564,0.0,top
S10,107.035,-69.8,0.0,top
S11,117.022721,-79.812721,180.0,top
S12,97.06,-79.85,0.0,top
S13,107.026674,-89.8,0.0,top
S14,136.717038,-106.440444,180.0,top
S15,136.681038,-115.440444,0.0,top
S16,117.435,-115.45,180.0,top
S2,96.582122,-49.261431,0.0,top
S3,75.12371,-92.564564,0.0,top
S4,146.516462,-37.949956,0.0,top
S5,75.116364,-105.710552,0.0,top
S6,136.516462,-47.949956,0.0,top
S7,156.516462,-47.949956,0.0,top
S8,75.116364,-114.529552,0.0,top
S9,146.516462,-57.949956,0.0,top
U1,130.97,-41.2852,180.0,top
U2,98.985,-64.67,180.0,top
U3,149.41,-67.1877,90.0,top
U4,93.305,-73.47,180.0,top
