"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D1, D4, D5, D6, D7, D8, D9, D11, D12, D13, D14, D16, D19, D20, D21, D24, D26, D28, D30, D32, D34, D35, D36, D39, D40";"D_0402_1005Metric";25;"ESD5V0B03";;;
2;"D2, D3";"LED_D5.0mm-4_RGB";2;"LED_RKGB";;;
3;"D10, D15, D17, D18, D22, D23, D25, D27, D29, D31, D33, D37, D38";"D_SOD-323";13;"1N4148WS";;;
4;"J1";"5034800800";1;"503480-0800";;;
5;"J2, J3, J4, J6";"5034800440";4;"503480-0440";;;
6;"J5, J11";"AYF530365T";2;"AYF530365TA";;;
7;"J7, J9";"5034800540";2;"503480-0540";;;
8;"J8, J10";"5034801400";2;"5034801400";;;
9;"S1, S2, S3, S5, S8";"B3S1002";5;"B3S-1002";;;
10;"S4, S6, S7, S9, S10, S11, S12, S13, S14, S15, S16";"B3S1000";11;"B3S-1000";;;
11;"U1, U4";"SOT-23";2;"DRV5033FAxDBZ";;;
12;"U2, U3";"SOT-23-5";2;"74LVC1G08";;;
