Designator,Mid X,Mid Y,Rotation,Layer
D1,92.655,-74.126,180.0,top
D2,81.688,-85.016,180.0,top
D23,78.71,-131.14,270.0,top
D24,91.771038,-147.285244,90.0,top
D25,86.43,-90.7,0.0,top
D26,101.91,-83.73,180.0,top
D27,84.39,-84.29,180.0,top
D28,89.43,-73.75,0.0,top
D29,84.05,-99.2,0.0,top
D3,99.088962,-94.2,0.0,top
D30,81.4,-98.9,180.0,top
D31,95.885,-100.665,0.0,top
D4,87.088962,-92.914756,90.0,top
D5,83.03,-102.26,180.0,top
D6,92.22,-143.12,270.0,top
D7,92.75,-100.45,0.0,top
H6,77.98,-62.45,270.0,top
H7,106.895,-62.449,90.0,top
H8,94.646462,-78.764756,0.0,top
H9,94.283,-136.061,180.0,top
J1,77.22,-97.290009,90.0,top
J2,108.0,-86.45,270.0,top
J4,92.7,-61.5,0.0,top
J5,105.3,-98.45,180.0,top
S1,94.646462,-68.764756,0.0,top
S2,84.646462,-78.764756,0.0,top
S3,104.646462,-78.764756,0.0,top
S4,94.646462,-88.764756,0.0,top
S5,84.847038,-137.255244,180.0,top
S6,84.811038,-146.255244,0.0,top
U1,79.1,-72.1,180.0,top
U2,97.54,-98.0025,90.0,top
