Designator,Footprint,Quantity,Value,LCSC Part #
A2,LattePanda_Module_H8.0mm_Horizontal,1,LattePanda_Mu,C962120
BT2,Battery_Holder_CR1220_S8411-45R,1,Battery_Cell,C964723
"C10, C11, C19, C22",0402,4,4.7uF,
"C100, C105, C133, C134, C135, C88",0603,6,10uF/25V,
"C102, C104, C150",0603,3,10uF,
C103,0603,1,100nF/50V,
"C106, C107, C108, C154, C63, C64, C65, C67, C68, C74, C75, C76, C77, C80, C81, C82, C83, C86, C98",0603,19,22uF/10V,
C109,0603,1,8.2nF,
"C110, C111, C112, C113, C114, C115, C116, C117, C121, C122, C123, C124, C125, C126, C127, C128, C129, C130, C140, C141, C142, C144, C145, C51, C53, C57, C59, C90",0402,28,10uF/10V,
"C118, C146",0603,2,100uF,
"C119, C120, C132, C136, C137, C147, C148, C151",0603,8,1uF,
"C12, C13, C14, C15, C16, C17, C18, C20, C21, C8, C9",0402,11,100nF,
C131,0603,1,100nF,
C138,0603,1,0.47uF,
C152,0603,1,2.2uF/25V,
"C153, C96",0603,2,10uF/10V,
C159,0603,1,0.1uF,
"C160, C161",0603,2,0.022uF,
C162,0603,1,100pF,
C163,0603,1,1.8nF,
"C164, C177",0402,2,10uF,
"C165, C166, C176, C179",0402,4,1uF,
"C175, C178",0402,2,10nF,
"C25, C26, C27, C30, C31, C52, C54, C58, C60, C70, C71, C78, C79",0402,13,100nF/50V,
"C3, C4",0402,2,15pF,
"C49, C50, C55, C56",0402,4,220nF/50V,
"C61, C66",0402,2,1uF/16V,
C87,0402,1,1nF/50V,
C89,0603,1,100nF/25V,
C91,0603,1,220pF/50V,
C92,0603,1,0.1uF/25V,
"C93, C97",0603,2,47nF/10V,
C94,0603,1,4.7uF/10V,
"D10, D11, D15, D16, D21, D7, D8",0402,7,ESD5V0B03,
"D12, D13, D14",0402,3,PESD24VS1UL-N,
"D18, D19, D20, D23, D28, D29, D30",D_SMA,7,SS54,
"D22, D9",0603,2,LED_G,
D24,D_SOD-323,1,3V3 Izt=5mA,
D33,0402,1,ESD5V0B03,C521894
"D4, D5",D_SOD-323,2,1N5819WS,
"D47, D52, D57, R12, R13, R16, R3, R37, R47",0402,9,1K/1%,
F1,0603,1,6V/50mA,
"F4, F6",0805,2,6V/2A,
"H10, H9",MountingHole_3mm_M2_Pad_TopOnly,2,MountingHole_Pad,C2928178
"H7, H8",MountingHole_3mm_M2_Pad_TopOnly,2,MountingHole_M2.0,C5301801
IC78,SOP65P780X200-28N,1,PCM2704CDBR,
IC79,QFN50P350X900X80-43N-D,1,TS3DV621RUAR,
IC80,RHL_R-PVQFN-N20__1,1,TPS61088RHLR,
J15,PCIe_M.2_Connectors_P=0.5mm_H=4.2mm_KeyM,1,Bus_M.2_Socket_M,C7498140
J16,PCIe_M.2_Connectors_P=0.5mm_H=4.2mm_KeyE,1,Bus_M.2_Socket_E,C7498141
J24,2004850710,1,200485-0710,
J5,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,SM03B-SRSS-TB,
"J50, J51",5034801400,2,5034801400,
J52,5034800800,1,503480-0800,C596711
J78,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,1,Speaker_L,
J79,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,1,Speaker_R,
J80,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
"J82, J92",USB3_A_Molex_48393-001,2,USB3_A,
"J83, J90",CON_2004850740,2,2004850740,
J84,FFC2A3308TR,1,FFC2A33-08-T-R,
J85,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,JST_XHP2_Battery1,
J86,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,JST_XHP2_Battery2,
