Designator,Mid X,Mid Y,Rotation,Layer
A2,-79.788,49.501,270.0,bottom
BT2,-135.65,14.15,90.0,top
C10,-55.03,45.2,0.0,top
C100,-45.46,60.975,270.0,top
C101,-39.225,73.3,0.0,top
C105,-60.15,79.5,0.0,top
C106,-39.225,70.075,0.0,top
C107,-28.25,76.9,0.0,top
C11,-50.15,47.55,0.0,top
C110,-112.96,79.89,180.0,top
C111,-112.95,78.9,180.0,top
C112,-111.05,78.4,180.0,top
C113,-111.04,77.39,180.0,top
C114,-113.0,76.85,180.0,top
C115,-113.0,75.85,180.0,top
C116,-111.0,75.35,180.0,top
C117,-111.0,74.35,180.0,top
C118,-61.85,64.65,90.0,top
C119,-62.45,71.55,270.0,top
C12,-37.25,36.5,180.0,top
C120,-59.85,70.55,0.0,top
C121,-115.74,61.443,270.0,top
C122,-115.24,59.293,270.0,top
C123,-114.24,59.293,270.0,top
C124,-113.73,61.443,270.0,top
C125,-112.72,61.443,270.0,top
C126,-112.26,59.53,270.0,top
C127,-111.25,59.53,270.0,top
C128,-132.5048,46.2,180.0,top
C129,-132.5048,47.3,180.0,top
C13,-37.25,35.5,180.0,top
C130,-134.5048,47.834799,180.0,top
C133,-60.15,77.95,0.0,top
C134,-47.0,60.975,270.0,top
C135,-43.9,60.975,270.0,top
C137,-113.3,11.4,90.0,bottom
C138,-114.6,12.2,270.0,top
C139,-43.325,75.5,270.0,top
C14,-37.25,34.5,180.0,top
C140,-134.5048,48.934799,180.0,top
C141,-132.5048,49.334799,180.0,top
C142,-132.5048,50.434799,180.0,top
C143,-50.05,74.275,90.0,top
C144,-134.5048,50.834799,180.0,top
C145,-134.5048,51.934799,180.0,top
C146,-58.75,64.65,90.0,top
C147,-67.9,65.85,180.0,top
C148,-65.438,54.284,180.0,top
C149,-19.7,74.725,270.0,top
C15,-39.15,36.5,0.0,top
C150,-61.117,62.317,0.0,top
C151,-61.91,60.023,90.0,top
C152,-61.4,81.8,270.0,top
C153,-45.0,55.975,0.0,top
C154,-45.1,80.85,90.0,top
C155,-41.75,80.85,90.0,top
C156,-35.1,80.85,90.0,top
C157,-38.4,80.85,90.0,top
C159,-64.8,65.85,0.0,top
C16,-39.15,33.5,0.0,top
C160,-60.3,64.65,90.0,top
C161,-60.366,60.019,90.0,top
C164,-147.78,81.46,0.0,top
C165,-147.78,80.46,0.0,top
C166,-141.1,83.6,0.0,top
C167,-36.725,75.625,180.0,top
C168,-44.025,73.15,0.0,top
C169,-30.525,61.2,0.0,top
C17,-37.25,33.5,180.0,top
C170,-43.61,58.07,90.0,top
C171,-39.225,71.7,180.0,top
C172,-28.075,60.95,0.0,top
C173,-25.875,65.99,180.0,top
C174,-25.325,64.515,270.0,top
C175,-145.45,78.42,180.0,top
C176,-121.55,37.1,270.0,bottom
C177,-122.55,37.1,90.0,bottom
C178,-119.5,36.0,270.0,bottom
C179,-120.55,30.5,270.0,bottom
C18,-39.13,35.5,0.0,top
C180,-31.725,78.95,0.0,top
C181,-31.725,76.9,0.0,top
C182,-31.725,74.85,0.0,top
C183,-25.85,71.05,180.0,top
C19,-49.75,43.15,90.0,top
C20,-39.15,34.5,0.0,top
C21,-50.75,43.15,90.0,top
C22,-53.55,45.7,90.0,top
C25,-139.5,53.47,90.0,top
C26,-0.4,50.2,90.0,bottom
C27,-1.4,50.2,90.0,bottom
C3,-37.25,37.55,0.0,top
C30,-9.15,44.65,90.0,bottom
C31,-8.15,44.65,90.0,bottom
C4,-33.8,39.0,90.0,top
C49,-15.005,12.64,0.0,top
C50,-15.0,13.65,0.0,top
C51,-15.569167,26.654833,270.0,bottom
C52,-12.569167,26.654833,270.0,bottom
C53,-14.569167,26.654833,270.0,bottom
C54,-13.569167,26.654833,270.0,bottom
C55,-96.634,52.383,90.0,top
C56,-97.634,52.383,90.0,top
C57,-100.259,59.62,270.0,bottom
C58,-99.242,59.62,270.0,bottom
C59,-98.243,59.62,270.0,bottom
C60,-97.25,59.614,270.0,bottom
C61,-49.0,82.45,90.0,top
C63,-10.75,54.6,180.0,top
C66,-61.884,10.883,180.0,top
C8,-55.03,47.3,0.0,top
C86,-10.7,71.9,180.0,top
C87,-47.7,57.25,180.0,top
C9,-55.03,46.25,0.0,top
C90,-116.74,61.443,270.0,top
C92,-60.14,76.38,0.0,top
C93,-55.0,65.2,90.0,top
C94,-55.125,62.9,180.0,top
C96,-45.0,54.425,0.0,top
C97,-52.9,63.2,270.0,top
D10,-41.55,85.35,0.0,top
D11,-39.615,85.35,180.0,top
D12,-50.5,82.9,0.0,top
D13,-35.1,88.05,0.0,top
D14,-35.1,87.0,0.0,top
D15,-12.1,63.415,270.0,bottom
D16,-12.1,61.365,90.0,bottom
D17,-104.05,43.95,270.0,top
D18,-55.05,82.9,0.0,top
D19,-55.065,79.282,0.0,top
D20,-55.065,75.632,0.0,top
D21,-61.899,11.893,0.0,top
D22,-75.695,10.326,0.0,top
D23,-30.575,70.3,270.0,top
D24,-67.25,78.1,0.0,top
D28,-97.95,22.9,0.0,bottom
D29,-97.95,15.6,0.0,bottom
D30,-97.95,19.25,0.0,bottom
D33,-46.1,13.3,90.0,top
D34,-137.9,66.85,180.0,top
D4,-141.78,80.96,180.0,top
D5,-122.05,31.05,90.0,bottom
D6,-130.4,55.2,90.0,top
D7,-12.1,82.285,270.0,top
D8,-12.1,80.335,90.0,top
D9,3.801833,13.236833,180.0,top
F1,-140.8,54.1,90.0,top
F4,-10.55,56.35,0.0,top
F6,-10.55,73.65,0.0,top
H1,-29.65,89.7,0.0,top
H10,-22.812,17.728,0.0,bottom
H2,1.902944,8.097056,0.0,top
H3,-150.0,90.2,0.0,top
H4,-149.55,9.05,0.0,top
H7,-97.644,88.685,90.0,top
H8,-6.724167,49.838695,90.0,top
H9,-22.792,81.284,0.0,bottom
IC78,-68.244,60.291,90.0,top
IC79,-95.9,67.8,0.0,bottom
IC81,-40.0,76.125,270.0,top
IC82,-29.6,64.225,180.0,top
IC83,-43.075,70.325,0.0,top
IC84,-26.76,73.825,180.0,top
J15,-6.714167,20.064833,180.0,top
J16,-97.644,58.91,180.0,top
J24,-59.884,30.403,0.0,top
J5,-31.05,43.45,90.0,top
J50,-135.05,28.9,90.0,top
J51,-16.05,60.05,90.0,top
J52,-41.62,14.664,180.0,top
J78,-70.225,90.75,0.0,top
J79,-64.875,90.75,0.0,top
J80,-51.85,90.29,180.0,top
J81,-6.865,62.4,270.0,bottom
J83,-107.733981,30.44,180.0,top
J84,-78.934,89.208,180.0,top
J85,-118.35,10.05,0.0,bottom
J86,-118.35,23.825,0.0,bottom
J87,-109.8,23.85,0.0,bottom
J88,-109.8,16.95,0.0,bottom
J89,-118.35,16.95,0.0,bottom
J90,-127.375029,88.933001,180.0,top
J91,-146.780001,50.85,180.0,top
J94,-6.865,81.3,270.0,bottom
L5,-52.25,46.25,270.0,top
L79,-37.725,63.1,270.0,top
L80,-46.45,75.675,0.0,top
L83,-47.1,70.2,270.0,top
L84,-22.7,74.625,90.0,top
L85,-45.925,65.275,0.0,top
L87,-147.29,84.34,0.0,top
L88,-126.33,34.91,270.0,top
Q11,-109.134,51.533,0.0,top
Q12,-100.294,45.143,90.0,top
Q23,-124.36097,65.778001,270.0,top
Q24,-133.66097,67.638001,90.0,top
Q25,-128.56847,67.648001,90.0,top
Q26,-122.85097,71.183,0.0,top
Q27,-103.4215,50.333,90.0,top
Q28,-121.0,53.1,270.0,top
Q29,-138.0,61.7625,90.0,top
Q30,-133.75,55.7,180.0,top
Q31,-133.95,60.75,0.0,top
Q32,-139.6,42.95,0.0,top
Q80,-59.984,12.983,0.0,top
Q81,-79.012,9.381,270.0,top
R100,-120.7,88.55,0.0,bottom
R101,-103.05,27.35,180.0,bottom
R102,-60.35,68.0,90.0,top
R103,-62.4,68.3,270.0,top
R104,-138.44,64.3,180.0,top
R105,-58.35,68.0,270.0,top
R106,-58.599,61.369,90.0,top
R107,-70.546,52.283,270.0,top
R108,-74.591,60.351,90.0,top
R109,-42.51,56.075,180.0,top
R110,-56.6,59.3,0.0,top
R111,-56.6,58.25,0.0,top
R112,-59.65,82.0,90.0,top
R113,-54.6,59.55,0.0,top
R114,-54.6,60.55,180.0,top
R115,-51.0,55.75,90.0,top
R116,-54.6,61.6,180.0,top
R117,-54.16,56.775,90.0,top
R118,-55.635,55.7,180.0,top
R119,-41.0,18.95,270.0,top
R12,-36.2,43.0,180.0,top
R120,-137.82,84.6,0.0,top
R121,-137.96,83.13,90.0,top
R122,-139.43,82.6,0.0,top
R123,-139.75,84.6,180.0,top
R124,-141.7,84.6,180.0,top
R125,-118.5,32.45,90.0,bottom
R126,-118.5,30.5,90.0,bottom
R127,-119.55,30.5,270.0,bottom
R128,-119.55,32.45,270.0,bottom
R129,-117.5,30.5,270.0,bottom
R13,-33.95,47.8,90.0,top
R130,-43.05,18.6,270.0,top
R131,-38.9,18.6,270.0,top
R132,-39.95,18.6,270.0,top
R133,-42.05,18.6,270.0,top
R134,-36.74,77.65,0.0,top
R135,-36.74,76.625,180.0,top
R136,-36.7,74.625,0.0,top
R137,-42.05,73.1,0.0,top
R138,-48.065701,72.669967,180.0,top
R139,-46.1,73.15,0.0,top
R14,-57.4,44.9,180.0,top
R140,-26.325,64.54,90.0,top
R141,-24.3,63.8,90.0,top
R142,-23.25,62.775,90.0,top
R143,-27.785,71.05,180.0,top
R144,-23.7,72.15,0.0,top
R145,-23.7,71.15,180.0,top
R15,-57.4,43.9,180.0,top
R16,-50.2,41.0,0.0,top
R164,-132.134,64.333,270.0,top
R165,-125.50097,67.728001,270.0,top
R166,-118.64,74.15,0.0,top
R167,-118.64,75.55,0.0,top
R168,-116.0,75.65,0.0,top
R169,-116.0,77.05,0.0,top
R17,-50.15,46.55,180.0,top
R170,-126.04097,71.628001,90.0,top
R172,-118.6,77.2,0.0,top
R173,-118.6,78.6,0.0,top
R174,-130.014,74.173,270.0,bottom
R175,-116.005,78.7,0.0,top
R176,-116.0,80.1,0.0,top
R177,-128.944,74.173,270.0,bottom
R178,-123.2,67.7,90.0,top
R179,-137.15,56.85,270.0,top
R18,-46.55,49.7,270.0,top
R180,-138.1,59.35,0.0,top
R181,-138.7048,52.084799,0.0,top
R182,-138.7048,50.684799,0.0,top
R183,-136.7048,50.55,0.0,top
R184,-136.7048,49.15,0.0,top
R185,-138.1,58.3,0.0,top
R187,-138.7048,49.084799,0.0,top
R188,-138.7048,47.684799,0.0,top
R189,-141.3,62.9,180.0,top
R19,-48.725,48.6,0.0,top
R190,-136.7,47.5,0.0,top
R191,-136.7,46.1,0.0,top
R192,-141.29,61.85,180.0,top
R193,-136.15,41.95,90.0,top
R194,-97.25,43.85,270.0,top
R195,-107.974,48.233,0.0,top
R196,-111.05,57.2,90.0,top
R197,-112.45,57.2,90.0,top
R198,-112.55,55.2,90.0,top
R199,-113.95,55.2,90.0,top
R20,-42.15,50.0,270.0,top
R200,-109.084,49.283,180.0,top
R202,-114.05,57.2,90.0,top
R203,-115.45,57.2,90.0,top
R204,-104.55,47.55,180.0,top
R205,-115.55,55.2,90.0,top
R206,-116.95,55.2,90.0,top
R207,-106.484,51.283,90.0,top
R208,-124.054,50.273,270.0,top
R21,-43.175,50.0,90.0,top
R27,-10.217167,26.663833,90.0,bottom
R29,-19.307167,24.709833,90.0,top
R3,-126.55,11.75,90.0,top
R30,1.299833,13.488833,180.0,top
R32,-101.4,57.15,90.0,bottom
R33,-86.05,52.3,270.0,top
R34,-102.334,59.633,270.0,bottom
R35,-101.334,59.633,90.0,bottom
R36,-50.5,80.85,0.0,top
R37,-50.5,81.85,0.0,top
R4,-70.4,76.8,0.0,top
R43,-35.65,90.55,90.0,top
R46,-87.75,17.9,180.0,top
R47,-81.375,8.379,270.0,top
R48,-61.964,14.153,180.0,top
R49,-82.437,8.377,90.0,top
R51,-87.75,18.85,180.0,top
R52,-73.184,10.323,0.0,top
R53,-68.35,80.1,270.0,top
R76,-50.3,53.6,180.0,top
R77,-45.75,57.25,180.0,top
R80,-81.35,64.65,90.0,top
R81,-127.434,64.833,180.0,top
R82,-130.55,60.25,90.0,top
R83,-100.4,49.0,90.0,top
R84,-44.05,18.95,270.0,top
R85,-73.161,41.733,90.0,top
R86,-73.15,39.79,270.0,top
R89,-110.7,13.95,90.0,top
R90,-111.7,13.95,90.0,top
R91,-106.75,10.05,90.0,bottom
R92,-108.55,8.95,0.0,bottom
R93,-100.0,9.8,270.0,bottom
R94,-67.326,50.251,270.0,top
R95,-68.777,50.251,90.0,top
R97,-123.784,63.283,0.0,top
R98,-110.3,54.3,270.0,top
SW80,-36.2,46.6,0.0,top
SW81,-53.7,41.0,270.0,top
SW82,-83.5,69.6,180.0,top
TH78,-56.185,56.975,0.0,top
TP10,-60.0,74.3,0.0,top
TP13,-70.9,78.9,0.0,top
TP14,-87.2,49.35,0.0,top
TP2,-6.7,27.0,0.0,bottom
TP5,-17.325,75.675,0.0,top
TP6,-51.875,71.6,0.0,top
TP7,-49.975,77.3,0.0,top
U12,-78.4375,53.8,0.0,top
U14,-39.55,89.05,0.0,top
U3,-0.2,52.1875,90.0,bottom
U79,-51.15,59.2,270.0,top
U80,-145.095,80.2,270.0,top
U82,-110.0,11.225,180.0,bottom
U84,-68.6125,70.4,0.0,top
U85,-121.29,34.515,180.0,bottom
U88,-43.55,42.8,180.0,top
U89,-115.5,53.1875,90.0,top
U9,-17.2508,62.4,270.0,bottom
U90,-112.5,53.15,90.0,top
U91,-121.4375,78.65,0.0,top
U92,-121.4125,75.6,0.0,top
U96,-131.90097,77.403001,90.0,top
U97,-140.7,47.55,180.0,top
U98,-140.65,50.6,180.0,top
U99,-114.242,43.472,180.0,top
Y1,-36.15,40.2,270.0,top
Y2,-77.515,60.317,180.0,top
Y81,-139.36097,71.448001,0.0,top
Y82,-97.7,41.1,0.0,top
