Designator,Footprint,Quantity,Value,LCSC Part #
A2,LattePanda_Module_H8.0mm_Horizontal,1,LattePanda_Mu,ADDR0207-P001A
BT2,Battery_Holder_CR1220_S8411-45R,1,Battery_Cell,BS-12-B3AA003
"C10, C11, C19, C22",0402,4,4.7uF,any/open
"C100, C105, C133, C134, C135",0603,5,10uF/25V,any/open
"C101, C106, C150",0603,3,10uF,any/open
C107,0805,1,10uF,any/open
"C110, C111, C112, C113, C114, C115, C116, C117, C121, C122, C123, C124, C125, C126, C127, C128, C129, C130, C140, C141, C142, C144, C145, C51, C53, C57, C59, C90",0402,28,10uF/10V,any/open
"C118, C146",1210,2,100uF,any/open
"C119, C120, C137, C147, C148, C151",0603,6,1uF,any/open
"C12, C13, C14, C15, C16, C17, C18, C20, C21, C8, C9",0402,11,100nF,any/open
C138,0603,1,0.47uF,any/open
"C139, C143",0805,2,22uF/4V,MCASA21GAB5226MTNA01
C149,0805,1,22uF,MCASA21GAB5226MTNA01
C152,0603,1,2.2uF/25V,any/open
"C153, C96",0603,2,10uF/10V,any/open
"C154, C155, C156, C157",1210,4,22uF/25V,GRM32ER61E226KE15L
C159,0603,1,0.1uF,any/open
"C160, C161",0603,2,0.022uF,any/open
"C164, C170, C177",0402,3,10uF,any/open
"C165, C166, C176, C179",0402,4,1uF,any/open
"C167, C168, C183",0402,3,1.2nF,any/open
C169,0402,1,220nF,any/open
C171,0603,1,100nF,any/open
C172,0603,1,2.2uF,any/open
C173,0402,1,39nF,any/open
C174,0402,1,91pF,any/open
"C175, C178",0402,2,10nF,any/open
"C180, C181, C182",1210,3,47uF,any/open
"C25, C26, C27, C30, C31, C52, C54, C58, C60",0402,9,100nF/50V,any/open
"C3, C4",0603,2,15pF,C0603C150K4RACTU
"C49, C50, C55, C56",0402,4,220nF/50V,any/open
"C61, C66",0402,2,1uF/16V,any/open
"C63, C86",0603,2,22uF/10V,any/open
C87,0402,1,1nF/50V,any/open
C92,0603,1,0.1uF/25V,any/open
"C93, C97",0603,2,47nF/10V,any/open
C94,0603,1,4.7uF/10V,any/open
"D10, D11, D15, D16, D21, D33, D7, D8",0402,8,ESD5V0B03,ESD5V0B03-1006
"D12, D13, D14",0402,3,PESD24VS1UL-N,PESD24VS1UL-N
"D17, D34, D4, D5, D6",D_SOD-323,5,1N5819WS,1N5819WS
"D18, D19, D20, D23, D28, D29, D30",D_SMA,7,SS54,SS54
"D22, D9",0603,2,LED_G,XL-1608UGC-04
D24,D_SOD-323,1,3V3 Izt=5mA,B5819WS-TP
F1,0603,1,6V/50mA,0603L005/6AR
"F4, F6",0805,2,6V/2A,SMD0805B110TF
"H10, H9",MountingHole_3mm_M2_Pad_TopOnly,2,MountingHole_Pad,SMTWEM225STR
"H7, H8",MountingHole_3mm_M2_Pad_TopOnly,2,MountingHole_M2.0,SMTWEM225STR
IC78,SOP65P780X200-28N,1,PCM2704CDBR,PCM2704CDBR
IC79,QFN50P350X900X80-43N-D,1,TS3DV621RUAR,TS3DV621RUAR
"IC81, IC83, IC84",TPS62903RPJR,3,TPS62903RPJR,TPS62903RPJR
IC82,PTPS61288RQQR,1,TPS61288LRQQR,TPS61288LRQQR
J15,PCIe_M.2_Connectors_P=0.5mm_H=4.2mm_KeyM,1,Bus_M.2_Socket_M,APCI0107-P001A
J16,PCIe_M.2_Connectors_P=0.5mm_H=4.2mm_KeyE,1,Bus_M.2_Socket_E,APCI0108-P001A
J24,2004850710,1,200485-0710,2004850710
J5,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,SM03B-SRSS-TB,SM03B-SRSS-TB
"J50, J51",5034801400,2,5034801400,5034801400
J52,5034800800,1,503480-0800,5034800800
J78,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,1,Speaker_L,0530470210
J79,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,1,Speaker_R,0530470210
J80,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,USB4105-GF-A
"J81, J94",GSB311A41EU,2,GSB311A41EU,GSB311A41EU
"J83, J90",CON_2004850740,2,2004850740,2004850740
J84,FFC2A3308TR,1,FFC2A33-08-T-R,FFC2A33-08-T-R
J85,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,JST_XHP2_Battery1,B2B-XH-A
J86,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,JST_XHP2_Battery2,B2B-XH-A
J87,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,JST_XHP2_Battery3,B2B-XH-A
J88,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,JST_XHP2_Battery4,B2B-XH-A
J89,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,JST_XHP2_Battery5,B2B-XH-A
J91,HDMI_A_Molex_208658-1001_Horizontal,1,HDMI_A_1.4,2086581001
L5,L_pol_2016,1,3.3uH,AOTA-B201610S3R3-101-T
L79,XAL8080222MED,1,XAL8080-222MEB,XAL8080-222MEB
"L80, L83, L84",74438336010HT,3,74438336010HT,74438336010HT
L85,74438336022HT,1,74438336022HT,74438336022HT
"L87, L88",LQH32DN100K23L,2,LQH32CN220K23L,LQH32CN220K23L
"Q11, Q23, Q29",SOT-23,3,AO3407,AO3407
"Q12, Q24, Q25, Q26, Q27, Q28, Q30, Q31, Q32",SOT-89-3,9,HM7533HBPR,HM7533HBPR
"Q80, Q81",SOT-23,2,2N7002,2N7002
"R100, R101, R109, R110, R111, R115, R18, R19, R20, R21, R34, R35, R36, R4, R49, R85, R86, R92",0402,18,10K/1%,any/open
"R102, R106",0805,2,16R/1%,any/open
"R103, R105",0805,2,330R/1%,any/open
"R104, R97, R98",0402,3,470R/1%,any/open
R107,0805,1,1.5k/1%,any/open
R108,0603,1,1M/1%,any/open
R112,0805,1,2R/1%,any/open
"R113, R114",0402,2,127K/1%,any/open
"R116, R134, R138, R144, R51, R80",0402,6,100k/1%,any/open
R117,0402,1,5.24k/1%,any/open
R118,0402,1,30k/1%,any/open
"R119, R84",0402,2,150R/1%,any/open
"R12, R13, R16, R3, R37, R47",0402,6,1K/1%,any/open
R120,0402,1,5.1R/1%,any/open
"R121, R122, R127, R128",0402,4,910k/1%,any/open
"R123, R126",0402,2,5k/1%,any/open
"R124, R125",0805,2,90k/1%,any/open
R129,0402,1,10R/1%,any/open
"R130, R131, R132, R133",0402,4,47R/1%,any/open
R135,0402,1,21K/1%,any/open
"R136, R137, R140, R143",0402,4,40.2K/1%,CRCW040240K2FKED
R139,0402,1,249K/1%,any/open
"R14, R15",0402,2,27R,any/open
R141,0402,1,681k/1%,CRCW0402681KFKED
R142,0402,1,48.7k/1%,CRCW040248K7FKED
R145,0402,1,76.8k/1%,any/open
"R164, R174, R177, R178, R179, R189, R192, R193, R194, R204, R207, R208, R81, R82, R83",0402,15,21.5K/1%,any/open
"R165, R180, R195, R27, R29, R32, R33",0402,7,0R/1%,any/open
"R166, R167, R168, R169, R172, R173, R175, R176, R181, R182, R183, R184, R187, R188, R190, R191, R196, R197, R198, R199, R202, R203, R205, R206",0402,24,56K/1%,any/open
R17,0402,1,33R/1%,any/open
"R170, R185, R200, R30, R52, R53",0402,6,2.2K/1%,any/open
R43,0402,1,6.8K/1%,any/open
"R46, R48",0402,2,100R/1%,any/open
R76,1206,1,100R/1%,any/open
R77,0402,1,4.7K/1%,any/open
"R89, R90",0402,2,5.1K/1%,any/open
R91,0603,1,10K/1%,any/open
R93,2512,1,0.010R/1%,any/open
"R94, R95",0603,2,22R/1%,any/open
"SW80, SW81",SW_SPST_B3U-1000P,2,SW_Push,B3U-1000P
SW82,Nidec_Copal_CAS-120A,1,SW_Nidec_CAS-120A1,CAS-120A
TH78,0603,1,10k/1%,103AT-2
"TP10, TP2",TestPoint_Pad_D1.5mm,2,TestPoint,N/A
"U12, U3, U9",Diodes_UDFN-10_1.0x2.5mm_P0.5mm,3,ULC0524P,ESDULC0524P5-TP
U14,ESSOP-10-1EP_3.9x5mm_P1.0mm_EP3.2x2.3,1,CH224K,CH224K
U79,Texas_RQM0029A_VQFN-29_4x4mm_P0.4mm,1,BQ25798,BQ25798RQMR
"U80, U85",DFN-8-1EP_2x2mm_P0.5mm_EP0.86x1.55mm,2,PAM2841G,PAM2841GR
